Log file created at: 2023-12-12 18:11:47 742 140425755850880
2023-12-12 18:11:47 742 140425755850880 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-12-12 18:11:47 742 140425755850880 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-12-12 18:11:47 742 140425755850880 client/client.cc(565) LOG(ERROR) Connection failure to session
2023-12-12 18:11:47 742 140425755850880 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-12-12 18:11:47 742 140425755850880 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-12-12 18:11:47 742 140425755850880 client/client.cc(565) LOG(ERROR) Connection failure to session
2023-12-12 18:11:48 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:25 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:26 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:30 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:31 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:32 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:33 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:34 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:34 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:41 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:42 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:44 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:26:50 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:27:38 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:27:39 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
